"index","date","Gdp","gGdp","ConSpending","gConSpending","GovSpending","gGovSpending","GrossFixedCapInv","gGrossFixedCapInv","Exports","gExports","Imports","gImports","M0","gM0","M1","gM1","M2","gM2","M3","gM3","Cpi","gCpi","CoreCPI","gCoreCPI","PPI","gPPI","ExpPrice","gExpPrice","ImpPrice","gImpPrice","ToT","gToT","UnempR","gUnempR","InduProdI","gInduProdI","GovDeficit","gGovDeficit","GovDebt","gGovDebt","TotExtDebt","gTotExtDebt","CurrentAcc","gCurrentAcc","CurrAccPercGDP","gCurrAccPercGDP","ForTradeBal","gForTradeBal","InterRes","gInterRes","IntRate","gIntRate","wAU","wCN","wEK","wJP","wNZ","wNW","wSD","wSW","wUK","u","rPPP","PPP","rOneN","OneN"
31,1993-07-01,0.415863112300194,0.0290225315311886,0.777060441608858,0.0768766672697761,0.595676605211389,0.0888470639017543,0.0374387637457957,0.0413720353207156,-0.0276292541742863,-0.0446962407997392,0.00545536088977666,0.0508353617171101,0.0211732419217724,0.0428407429119043,0.322087853570652,0.0807524288253699,0.131215852013737,0.0844132461854173,0.614681815158567,0.0699429885404558,-0.00398796931483876,0.0124480264002354,-0.464991270600032,0.0296549765241101,-0.192068899703902,-0.00196816501365987,-0.99298137587262,0.00518758397148091,-0.986672168403152,-0.00260592548521085,-0.992502855150103,0.00812544152394793,0.995525167165195,-0.0132331978796311,-0.578056384791826,-0.0566591021570664,0.100379251154372,0.0231576073016268,0.0624094528971052,0.0417358779976509,0.0220068254133595,-0.109080220548391,-0.0559922652633984,0.0322528486976286,-0.10272851013633,0.0265584317984568,-0.0328852523586515,0.121048440242674,-0.228549521927975,0.0461257147077617,0.0657884074968411,-0.0342252875952968,-0.500262906445483,-0.159945815595667,0,1.07579507972478,0.503576130090255,0.288639881638089,-0.43236655273251,0.254292201684707,-0.033983300981292,-0.185748651190131,0.0770939462352541,1.07709394623525,-0.0102324117991287,0.989767588200871
32,1993-10-01,0.85207422953249,0.0211377517309017,0.608434526767107,0.018114345306459,0.592343528147422,0.0609556833811133,0.0150723206638924,0.0146916399812118,0.00518867481012641,-0.0141033325765439,-0.0173803526561506,0.0321079018408429,0.00951891826432964,0.178672221032238,0.386678274517271,0.0301596941892855,0.0915539194062736,0.0982150817346329,0.64834188981707,0.112006388525475,-0.0435788960883207,0.0515585189292361,-0.298004369869348,0.064733511195591,-0.0906395875528769,-0.00104299407528946,-0.90221954192235,0.0828633974453116,-0.997204165770866,0.0646623616610948,-0.988477590424538,0.0720367373817228,0.958593929752272,-0.0406730968165591,-0.512901244730854,-0.0772961002886152,0.0344875937533114,0.000635225685307942,0.0984863488510499,0.255528310171912,-0.0708200934771121,-0.0184109683483397,-0.0551127133686265,0.0309858968439965,-0.0542521860137167,-0.03411414643343,0.0366218387270162,0.00586590396316777,-0.0501883537922809,0.00535712778686719,0.0532735113971475,-0.113377924680636,0.0897634377501164,-0.111770146474249,0,0.493984388631452,0.630518747694656,0.346310918753845,-0.501069025086768,-0.000659872634614922,0.0515557566684249,-0.205565036568746,0.0501411813774866,1.13110070915403,-0.00160290576782971,0.988181084024933
33,1994-01-01,0.585251561709093,-0.0280458820023842,0.576417610981683,0.21320473612915,0.822253975130135,0.0158815541429383,0.045558550090301,0.0487916160900973,-0.0136985517809011,0.0115437775447331,0.0831757324370133,-0.00452363497237029,-0.0336517372610426,0.108112359092231,0.238831890162275,0.00491847985512564,0.0253287213431636,0.0762447885498758,0.277379989575593,0.0352337445057896,0.092234399234223,0.0667792592767407,-0.274494000135468,0.0220925706734911,-0.299679548557034,-0.0190781734470937,-0.967994214325057,0.036000003302348,-0.977952227956416,-0.0149814365254677,-0.997033765306512,0.070221733337723,0.991357224736628,-0.00293908162956851,-0.670038643428733,-0.10808602686529,0.0119071982661923,0.0725091405088919,0.152128005842468,0.0892582289849701,-0.0154419719570591,-0.0832768189299128,-0.000929892743897598,-0.00505925833175702,-0.148054972269474,0.0014778368605058,0.0332500542145293,0.170386697768495,-0.0587685650504004,0.0434732850129816,0.0321653778126961,-0.126546148765547,0.52508648535524,-0.113925163101509,0,0.322145578871701,0.465818271706915,-0.170944386017753,0.247592801798473,0.0659820851582925,-0.350561897416163,-0.228322104849638,0.0229349386143636,1.15704243448514,-0.0150469032822158,0.973312018828295
34,1994-04-01,0.417095463676051,0.0927120809180237,0.859530817561353,0.0535034672502174,0.986937412434745,0.0337263193888702,0.148357094707354,-0.00103140302417837,-0.0609536002302115,0.00194356709575849,0.0192171486068323,0.0335005369703826,-0.0755840185395645,0.136359687655719,0.0837623977517541,0.0909462456619474,0.00488431800923315,0.10761347158406,0.100342851458211,0.0147650060483097,0.0393017029684534,-0.00535974519383282,-0.16940017773767,0.0603441907002443,-0.139886011835665,0.033112365403127,-0.968796845625539,-0.0325786533980114,-0.975514883806076,0.0635814435753651,-0.994732335961392,-0.000885378166248729,0.975333876987448,0.0299872600876724,-0.888590063821396,-0.454943836422474,0.0251458789865684,0.0532456281893966,0.0537857467573696,0.0806797036905639,-0.0478929860278952,-0.050153852932461,-0.0137838330747542,-0.0281602739908362,-0.0239734149060846,-0.00304463752877433,0.105917645913295,0.0597895552400671,-0.0708858577988973,0.0198750900050896,-0.0409132356235179,-0.103086081971228,0.520878740536461,0.0938750525469983,0,0.515192886359945,0.339629461268954,0.272406935038537,-0.626368577263545,-0.00626487384404575,-0.0987374374786674,-0.224932178643754,0.0267674790089999,1.18801354356274,0.0254430654102723,0.998076060187947
35,1994-07-01,0.667964607430769,0.0438995076061997,0.950603848403335,0.0552264413479908,0.462411850388906,0.00494857587282165,0.0289362984862469,0.0583787327265237,-0.0311998147030186,0.0049419601613863,0.0589553389429637,0.0266104681642447,0.0284942762958262,0.0209210323847575,0.0659707735591933,0.128897740761613,0.0919225057994266,0.194676649386723,0.461088414509776,0.0229677388240639,-0.0262838435647322,-0.016635303020817,-0.154116494590142,-0.0305132207276766,-0.0222228118393474,-0.0540661529571175,-0.974215908397586,0.00095382501377152,-0.980398669603159,-0.0115275424449337,-0.997156722874822,-0.00730032035191258,0.990053234021773,-0.0150363643015723,-0.926229248670125,-0.0819208759419675,-0.027804756000234,0.151227257779684,0.0376492617464046,0.110337253489401,-0.0246203293402453,-0.0442338470359592,-0.0859526326562933,0.0756354981516224,0.00905725988956333,-0.0676712225801056,0.159255301838898,0.123227209209259,-0.155734426410586,0.000189756300926739,0.0477693798664433,-0.00236762033678262,0.523738828941731,0.388647574258357,0,0.507405172112411,0.390718738385934,-0.15970414355161,-0.662843056525515,0.150222591317154,-0.111835077505652,-0.198443157277498,0.0594390341938465,1.25862792120132,0.0394491371843247,1.03744929960669
36,1994-10-01,0.437192026394642,0.1092102173816,0.970012183250219,-0.0105262040294905,0.559560644119115,0.0916958531483066,0.357027688487203,0.127580573609234,-0.0740002915872592,-0.0292323833883399,0.000761364729138195,0.0260115795116497,-0.0475638274600756,0.0701845324858526,0.0904894637261544,0.193276861886889,0.141191599186963,0.208464977058517,0.139509212762152,0.159560919744863,0.0311060941456817,0.0449999493340147,-0.0965457276879694,-0.00193795949673536,-0.152500721748305,-0.00736776683753399,-0.940919297917629,0.0427411608313043,-0.997316741523244,0.101257512326023,-0.997805849374982,0.00870226195232428,0.965511768277694,-0.00535695181153082,-0.903199131249674,-0.166070820532029,0.0730036741663727,-0.0272925099524242,-0.0186745261997475,0.100069375849781,0.0235394101515101,-0.0089577954564564,-0.0519688010246742,-0.0136072565038908,0.00124159602463996,-0.00186166181162476,0.0678989704808719,0.0224961346423565,-0.0123138589326408,0.0426856818921967,0.148339964339349,-0.00755180850496409,0.387767486774087,0.024874890405559,0,-0.0713155149019883,0.463667305782433,-0.0140386032803523,-0.311157159242713,0.197182100122955,0.33315415784902,-0.239357409030844,0.0109351180107211,1.27239116605125,0.0231812633743053,1.06149868505836
37,1995-01-01,0.552534882307737,0.0453839302696137,0.934987735044474,0.0715794157790462,0.39664856754315,0.00361990402701574,0.417031697851267,0.0733541622899581,-0.0279430529313626,0.006105526957029,0.231000869511083,-0.0258707858269751,0.00289660891428573,0.0873630950387325,0.238195072791899,0.0927473078870326,0.0518553759482523,0.0283124234354603,0.252748223258022,0.109729360265196,0.0396555508628701,-0.00720613924565082,-0.245889416321401,0.0399105283584747,-0.0866097235813703,0.000812216202102645,-0.994558842576633,0.0561254302000165,-0.995045154319373,0.00879826911769047,-0.983719324616527,-0.000257458488051103,0.994871739960096,-0.0213901681675249,-0.911340030374189,-0.156489343431983,0.0150909755724879,0.0204868120253281,-0.0266008747029305,0.0215437998622047,0.00837412588538836,-0.107715416212697,-0.0177967585999953,0.0681266497760177,-0.0507048866497544,-0.0458929240400743,0.111320284146495,0.117506459672516,0.00101038359600349,-0.0205133344147667,-0.000816841083463776,-0.0621823470310387,0.12293497537512,-0.0455337692868,0,0.651273178548536,0.638001708406755,0.0749521097568251,-0.377134244652394,0.0988663767093457,-0.159637944982167,-0.209841646395365,0.0447492809497691,1.32932975581888,0.00673693190133584,1.06864992941296
38,1995-04-01,0.498510466190089,0.151186403260395,0.968258263448208,-0.002387211594214,0.982214057737896,0.111036229471849,0.169556793932703,0.034309415118963,-0.0284687169469001,-0.00298461947341648,-0.0263561648151069,0.00135527353625638,0.0298380881917421,0.0589219484898169,0.107894624923024,0.0517807956554235,0.0500968722527873,0.223071194759877,0.42524524835838,0.0666447865932497,-0.0104642791823148,0.0210402501664619,-0.0590636675912484,0.0471783593828871,-0.0293138194129455,0.0137603507841138,-0.985515186510899,0.00090089034939695,-0.980830239076068,0.0251960680068819,-0.984637720873722,0.0431590142485923,0.981762725923344,-0.0145105341148029,-0.955421621045999,-0.0447574837622564,0.0085831903451347,0.0232325785746531,0.0700620914807041,0.104623857373699,0.00662115913959475,-0.0517418438574258,-0.0508218326183323,-0.00502145741598401,-0.0263775482636049,-0.0102904443046519,0.180791715094602,0.0530381234034355,-0.0956204898164233,0.0239062858305954,0.05256916708419,-0.0296894699827032,-0.163820253746139,-0.0165656930646164,0,1.29422224200151,0.323553090672508,0.465097933002021,-0.469946352035218,-0.120936591796924,-0.284594143526073,-0.109485043871973,0.229267226319691,1.6341015017997,0.0541818744819775,1.12655138575359
39,1995-07-01,0.173522237565835,0.00754833529647444,0.875970728556046,0.0274977298794019,0.979334013393456,0.0615435640706368,0.22796155469486,0.0655548771651695,-0.0170675157779327,0.0558268408712272,0.0685817371275307,0.00850765239419763,0.0498260793420927,0.0978458712896989,0.221160389465475,0.100027441371548,-0.00421209936470193,0.15087607833849,0.205989799729047,0.0253526257264369,0.0124908362510508,0.0146135082928335,-0.193410733404359,0.0910412338163783,-0.280328197772246,0.0572688016632576,-0.967450857029071,-0.0413192721056946,-0.988540100060187,-0.00886912048007549,-0.991273546753884,-0.0586259910357538,0.964993546256073,-0.0369230048014126,-0.91167937317762,-0.00379795745461973,0.00393363424672138,0.0276708282501355,0.00135931344839986,0.0600703646166964,0.017767563767363,-0.111873112337011,0.00493286043364843,0.0951276160310829,-0.0205360448566908,-0.0591955710197872,0.13822740268162,0.0414511501569687,0.0885824876766445,0.0247576510778336,0.120057774694667,-0.0965634225122671,-0.02121553197535,0.337388609686333,0,0.120118252345919,0.136410671759075,0.404607951313578,-0.217638922344457,0.318465059961907,-0.0777938362215004,-0.245474288692801,0.00457762206912051,1.64158180089753,0.00197239575921565,1.12877339092938
40,1995-10-01,0.278421498283995,0.0182503643667824,0.973877161036928,0.0119003966045402,0.605343104252365,0.0477028095712097,0.184833555598106,0.0401690351570972,0.00773764644682958,-0.0207533354458241,0.113446006554431,-0.00268309121241893,0.00613138002184402,0.0214028467222911,0.134419283620717,0.0568279159031773,0.235457873734633,0.206518372444145,0.374047157005953,0.04628480124188,-0.0146175601273483,0.00217910795836923,-0.339828945532362,-0.0213047653678486,0.0279119725662947,0.0100430482997526,-0.943420214103973,-0.0270072913948017,-0.965710580582276,-0.00643623666741184,-0.998438017387331,0.0358928905870395,0.974950150799761,-0.0172481489684722,-0.880298887350362,-0.0655201850463315,-0.032463983209732,0.0587745894051223,0.106443660979324,0.0372211699432223,-0.0186352121081286,-0.193559591943559,0.00904146516054041,0.0235789967326963,-0.0461239946100417,-0.00623808784219595,0.208730038070236,0.0223816195396194,-0.137127425357204,0.0227779686483073,0.30702660188198,-0.0457454212087585,0.453112901540094,-0.26443888486883,0,-0.597028528999843,0.308728041635927,0.298131141178491,0.700640495876581,0.213399712663963,-0.115001174707875,-0.15225150750215,0.131995242979606,1.85826278957789,-0.00882221989548697,1.11881510386243
41,1996-01-01,0.575645567769591,0.0277316280119096,0.959934361998708,-0.00832343079749198,0.662213025891317,-0.0079923325803064,0.298281757225071,0.00815641187958602,-0.00131448267005564,-0.0333158084885405,0.191721809985069,-0.0232820050814644,0.0149892423016478,0.0262975376980038,0.138619512084989,0.0203491705221924,0.265263802639916,0.0319012429459821,0.057548859029403,-0.0281940461093464,-0.0347844322029667,0.0473385395670527,-0.238657498261878,-0.00274782268353041,-0.0383325902890971,0.0607563937510331,-0.983446110077995,0.0376032456681397,-0.986577402955195,0.0784961840903361,-0.994572359349533,-0.0212268132971822,0.991648948459039,-0.0604951366307557,-0.933419436406024,-0.0224150485348488,-0.132528032668002,0.0825571787757553,-0.00756333693314859,0.0210770338061381,0.0532965586398149,-0.124035804259803,0.0456214425264037,-0.0205681506566548,-0.0099491145973064,0.0274071076344713,0.285706531814275,0.0578630486287286,-0.00385532435023814,0.00478252484445835,0.119662926324305,0.0644901776280289,0.404118513217205,-0.0355333990200047,0,-0.170007304196123,0.19050643833281,0.568600525128574,0.160783717255399,0.226797408730951,-0.349436384389784,-0.243612962410681,0.00649101883546104,1.87032480834628,-0.00724488326581153,1.11070941903892
